DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.098307;M003;8;0;0;1;2020-07-03 11:16:27.511135;11:16:27.609442;2;0.01;10;2;500;50
0.309451;M001;8;0;0;0;2020-07-03 11:16:27.909241;11:16:28.218692;2;0.01;10;2;500;50
0.076403;M029;8;0;0;0;2020-07-03 11:16:31.657348;11:16:31.733751;2;0.01;10;2;500;50
0.209186;M042;8;0;0;1;2020-07-03 11:16:32.804676;11:16:33.013862;2;0.01;10;2;500;50
0.108695;M046;8;0;0;1;2020-07-03 11:16:33.125066;11:16:33.233761;2;0.01;10;2;500;50
0.189604;M178;8;0;0;1;2020-07-03 11:16:47.201874;11:16:47.391478;2;0.01;10;2;500;50
0.090967;M154;8;0;0;0;2020-07-03 11:16:48.876969;11:16:48.967936;2;0.01;10;2;500;50
0.072441;M292;8;0;0;1;2020-07-03 11:17:02.348356;11:17:02.420797;2;0.01;10;2;500;50
0.12959;M310;8;0;0;1;2020-07-03 11:17:04.980540;11:17:05.110130;2;0.01;10;2;500;50
0.197678;M293;8;0;0;0;2020-07-03 11:17:07.992791;11:17:08.190469;2;0.01;10;2;500;50
0.176082;M360;8;0;0;0;2020-07-03 11:17:18.700844;11:17:18.876926;2;0.01;10;2;500;50
0.210909;M449;8;0;0;0;2020-07-03 11:17:31.741727;11:17:31.952636;2;0.01;10;2;500;50
0.138174;M479;8;0;0;0;2020-07-03 11:17:35.833638;11:17:35.971812;2;0.01;10;2;500;50
0.141221;M488;8;0;0;0;2020-07-03 11:17:36.924166;11:17:37.065387;2;0.01;10;2;500;50
0.541865;M024;8;0;0;0;2020-07-03 11:16:31.194921;11:16:31.736786;2;0.01;10;2;500;50
0.181006;M147;8;0;0;1;2020-07-03 11:16:44.006806;11:16:44.187812;2;0.01;10;2;500;50
0.411843;M129;8;0;0;0;2020-07-03 11:16:44.140942;11:16:44.552785;2;0.01;10;2;500;50
0.171443;M168;8;0;0;1;2020-07-03 11:16:45.845085;11:16:46.016528;2;0.01;10;2;500;50
0.080128;M169;8;0;0;1;2020-07-03 11:16:45.935453;11:16:46.015581;2;0.01;10;2;500;50
0.261175;M219;8;0;0;0;2020-07-03 11:16:57.899285;11:16:58.160460;2;0.01;10;2;500;50
0.267095;M243;8;0;0;0;2020-07-03 11:17:00.576178;11:17:00.843273;2;0.01;10;2;500;50
0.241769;M297;8;0;0;1;2020-07-03 11:17:03.524162;11:17:03.765931;2;0.01;10;2;500;50
0.33742;M268;8;0;0;0;2020-07-03 11:17:04.665577;11:17:05.002997;2;0.01;10;2;500;50
0.354867;M274;8;0;0;0;2020-07-03 11:17:05.271272;11:17:05.626139;2;0.01;10;2;500;50
0.079126;M299;8;0;0;0;2020-07-03 11:17:08.906240;11:17:08.985366;2;0.01;10;2;500;50
0.221205;M347;8;0;0;1;2020-07-03 11:17:09.122899;11:17:09.344104;2;0.01;10;2;500;50
0.309179;M309;8;0;0;0;2020-07-03 11:17:09.721591;11:17:10.030770;2;0.01;10;2;500;50
0.340868;M360;8;0;0;1;2020-07-03 11:17:10.486478;11:17:10.827346;2;0.01;10;2;500;50
0.082319;M362;8;0;0;1;2020-07-03 11:17:10.905868;11:17:10.988187;2;0.01;10;2;500;50
0.344537;M371;8;0;0;1;2020-07-03 11:17:11.969024;11:17:12.313561;2;0.01;10;2;500;50
0.144899;M377;8;0;0;1;2020-07-03 11:17:12.370285;11:17:12.515184;2;0.01;10;2;500;50
0.263536;M321;8;0;0;0;2020-07-03 11:17:12.474221;11:17:12.737757;2;0.01;10;2;500;50
0.128628;M383;8;0;0;1;2020-07-03 11:17:12.907312;11:17:13.035940;2;0.01;10;2;500;50
0.069218;M340;8;0;0;0;2020-07-03 11:17:15.353094;11:17:15.422312;2;0.01;10;2;500;50
0.215549;M399;8;0;0;1;2020-07-03 11:17:15.441829;11:17:15.657378;2;0.01;10;2;500;50
0.2133;M430;8;0;0;1;2020-07-03 11:17:20.474601;11:17:20.687901;2;0.01;10;2;500;50
0.27747;M439;8;0;0;1;2020-07-03 11:17:22.050836;11:17:22.328306;2;0.01;10;2;500;50
0.206484;M043;8;0;0;0;2020-07-03 11:16:33.370990;11:16:33.577474;2;0.01;10;2;500;50
0.19173;M053;8;0;0;1;2020-07-03 11:16:33.684451;11:16:33.876181;2;0.01;10;2;500;50
0.242371;M051;8;0;0;0;2020-07-03 11:16:35.212771;11:16:35.455142;2;0.01;10;2;500;50
0.146893;M066;8;0;0;0;2020-07-03 11:16:37.070743;11:16:37.217636;2;0.01;10;2;500;50
0.070971;M082;8;0;0;1;2020-07-03 11:16:37.145750;11:16:37.216721;2;0.01;10;2;500;50
0.101562;M106;8;0;0;1;2020-07-03 11:16:39.419186;11:16:39.520748;2;0.01;10;2;500;50
0.146013;M184;8;0;0;0;2020-07-03 11:16:52.963493;11:16:53.109506;2;0.01;10;2;500;50
0.134815;M195;8;0;0;0;2020-07-03 11:16:54.802058;11:16:54.936873;2;0.01;10;2;500;50
0.064117;M197;8;0;0;0;2020-07-03 11:16:54.872756;11:16:54.936873;2;0.01;10;2;500;50
0.199892;M203;8;0;0;0;2020-07-03 11:16:55.737070;11:16:55.936962;2;0.01;10;2;500;50
0.32942;M265;8;0;0;1;2020-07-03 11:16:58.374309;11:16:58.703729;2;0.01;10;2;500;50
0.206651;M302;8;0;0;1;2020-07-03 11:17:03.982846;11:17:04.189497;2;0.01;10;2;500;50
0.078726;M296;8;0;0;0;2020-07-03 11:17:08.513991;11:17:08.592717;2;0.01;10;2;500;50
0.150742;M369;8;0;0;1;2020-07-03 11:17:11.895864;11:17:12.046606;2;0.01;10;2;500;50
0.069894;M318;8;0;0;0;2020-07-03 11:17:11.977702;11:17:12.047596;2;0.01;10;2;500;50
0.088103;M381;8;0;0;1;2020-07-03 11:17:12.646674;11:17:12.734777;2;0.01;10;2;500;50
0.302282;M452;8;0;0;1;2020-07-03 11:17:22.967286;11:17:23.269568;2;0.01;10;2;500;50
0.150455;M453;8;0;0;1;2020-07-03 11:17:23.119113;11:17:23.269568;2;0.01;10;2;500;50
0.067341;M418;8;0;0;0;2020-07-03 11:17:28.062014;11:17:28.129355;2;0.01;10;2;500;50
0.174893;M475;8;0;0;0;2020-07-03 11:17:35.482289;11:17:35.657182;2;0.01;10;2;500;50
0.28979;M017;8;0;0;1;2020-07-03 11:16:29.537155;11:16:29.826945;2;0.01;10;2;500;50
0.067528;M089;8;0;0;1;2020-07-03 11:16:37.385029;11:16:37.452557;2;0.01;10;2;500;50
0.439244;M132;8;0;0;0;2020-07-03 11:16:45.014813;11:16:45.454057;2;0.01;10;2;500;50
0.073252;M159;8;0;0;1;2020-07-03 11:16:45.379651;11:16:45.452903;2;0.01;10;2;500;50
0.075673;M183;8;0;0;1;2020-07-03 11:16:47.927146;11:16:48.002819;2;0.01;10;2;500;50
0.089924;M157;8;0;0;0;2020-07-03 11:16:49.254619;11:16:49.344543;2;0.01;10;2;500;50
0.143178;M198;8;0;0;1;2020-07-03 11:16:50.012788;11:16:50.155966;2;0.01;10;2;500;50
0.204688;M189;8;0;0;0;2020-07-03 11:16:53.640568;11:16:53.845256;2;0.01;10;2;500;50
0.109217;M261;8;0;0;1;2020-07-03 11:16:57.534592;11:16:57.643809;2;0.01;10;2;500;50
0.357852;M319;8;0;0;1;2020-07-03 11:17:05.610881;11:17:05.968733;2;0.01;10;2;500;50
0.244273;M325;8;0;0;1;2020-07-03 11:17:06.175766;11:17:06.420039;2;0.01;10;2;500;50
0.109218;M319;8;0;0;0;2020-07-03 11:17:12.405966;11:17:12.515184;2;0.01;10;2;500;50
0.235435;M411;8;0;0;1;2020-07-03 11:17:17.840618;11:17:18.076053;2;0.01;10;2;500;50
0.188428;M441;8;0;0;1;2020-07-03 11:17:22.139878;11:17:22.328306;2;0.01;10;2;500;50
0.090899;M458;8;0;0;1;2020-07-03 11:17:23.913435;11:17:24.004334;2;0.01;10;2;500;50
0.246366;M000;8;0;0;1;2020-07-03 11:16:27.037581;11:16:27.283947;2;0.01;10;2;500;50
0.084798;M025;8;0;0;1;2020-07-03 11:16:30.789300;11:16:30.874098;2;0.01;10;2;500;50
0.145684;M087;8;0;0;1;2020-07-03 11:16:37.306873;11:16:37.452557;2;0.01;10;2;500;50
0.157958;M125;8;0;0;0;2020-07-03 11:16:44.030572;11:16:44.188530;2;0.01;10;2;500;50
0.138403;M126;8;0;0;0;2020-07-03 11:16:44.049409;11:16:44.187812;2;0.01;10;2;500;50
0.094952;M128;8;0;0;0;2020-07-03 11:16:44.092860;11:16:44.187812;2;0.01;10;2;500;50
0.255516;M151;8;0;0;1;2020-07-03 11:16:44.294432;11:16:44.549948;2;0.01;10;2;500;50
0.257739;M153;8;0;0;1;2020-07-03 11:16:44.617264;11:16:44.875003;2;0.01;10;2;500;50
0.183519;M208;8;0;0;1;2020-07-03 11:16:51.018543;11:16:51.202062;2;0.01;10;2;500;50
0.061845;M285;8;0;0;1;2020-07-03 11:17:01.361790;11:17:01.423635;2;0.01;10;2;500;50
0.260158;M269;8;0;0;0;2020-07-03 11:17:04.744101;11:17:05.004259;2;0.01;10;2;500;50
0.173323;M270;8;0;0;0;2020-07-03 11:17:04.830936;11:17:05.004259;2;0.01;10;2;500;50
0.198596;M312;8;0;0;1;2020-07-03 11:17:05.131603;11:17:05.330199;2;0.01;10;2;500;50
0.224448;M343;8;0;0;1;2020-07-03 11:17:08.368269;11:17:08.592717;2;0.01;10;2;500;50
0.221844;M368;8;0;0;0;2020-07-03 11:17:19.622493;11:17:19.844337;2;0.01;10;2;500;50
0.111455;M372;8;0;0;0;2020-07-03 11:17:20.171575;11:17:20.283030;2;0.01;10;2;500;50
0.092594;M376;8;0;0;0;2020-07-03 11:17:21.096217;11:17:21.188811;2;0.01;10;2;500;50
0.151703;M382;8;0;0;0;2020-07-03 11:17:21.754173;11:17:21.905876;2;0.01;10;2;500;50
0.272143;M422;8;0;0;0;2020-07-03 11:17:28.415433;11:17:28.687576;2;0.01;10;2;500;50
0.064784;M454;8;0;0;0;2020-07-03 11:17:33.153516;11:17:33.218300;2;0.01;10;2;500;50
0.177172;M481;8;0;0;0;2020-07-03 11:17:36.197980;11:17:36.375152;2;0.01;10;2;500;50
0.10991;M001;8;0;0;1;2020-07-03 11:16:27.173180;11:16:27.283090;2;0.01;10;2;500;50
0.227862;M042;8;0;0;0;2020-07-03 11:16:33.350721;11:16:33.578583;2;0.01;10;2;500;50
0.313643;M076;8;0;0;1;2020-07-03 11:16:36.752838;11:16:37.066481;2;0.01;10;2;500;50
0.074757;M131;8;0;0;1;2020-07-03 11:16:41.863648;11:16:41.938405;2;0.01;10;2;500;50
0.181476;M107;8;0;0;0;2020-07-03 11:16:42.133899;11:16:42.315375;2;0.01;10;2;500;50
0.071918;M110;8;0;0;0;2020-07-03 11:16:42.523585;11:16:42.595503;2;0.01;10;2;500;50
0.357453;M166;8;0;0;0;2020-07-03 11:16:50.642574;11:16:51.000027;2;0.01;10;2;500;50
0.296618;M235;8;0;0;0;2020-07-03 11:16:59.878320;11:17:00.174938;2;0.01;10;2;500;50
0.178416;M291;8;0;0;1;2020-07-03 11:17:02.241382;11:17:02.419798;2;0.01;10;2;500;50
0.111165;M303;8;0;0;1;2020-07-03 11:17:04.077190;11:17:04.188355;2;0.01;10;2;500;50
0.182929;M267;8;0;0;0;2020-07-03 11:17:04.222444;11:17:04.405373;2;0.01;10;2;500;50
0.272802;M284;8;0;0;0;2020-07-03 11:17:06.901074;11:17:07.173876;2;0.01;10;2;500;50
0.187644;M393;8;0;0;1;2020-07-03 11:17:14.547902;11:17:14.735546;2;0.01;10;2;500;50
0.169675;M415;8;0;0;1;2020-07-03 11:17:18.519335;11:17:18.689010;2;0.01;10;2;500;50
0.106755;M385;8;0;0;0;2020-07-03 11:17:21.972434;11:17:22.079189;2;0.01;10;2;500;50
0.085845;M451;8;0;0;1;2020-07-03 11:17:22.928743;11:17:23.014588;2;0.01;10;2;500;50
0.138057;M005;8;0;0;1;2020-07-03 11:16:27.708422;11:16:27.846479;2;0.01;10;2;500;50
0.066097;M023;8;0;0;0;2020-07-03 11:16:31.137279;11:16:31.203376;2;0.01;10;2;500;50
0.130526;M034;8;0;0;0;2020-07-03 11:16:32.197681;11:16:32.328207;2;0.01;10;2;500;50
0.219675;M049;8;0;0;1;2020-07-03 11:16:33.357799;11:16:33.577474;2;0.01;10;2;500;50
0.232189;M052;8;0;0;1;2020-07-03 11:16:33.645112;11:16:33.877301;2;0.01;10;2;500;50
0.187606;M059;8;0;0;0;2020-07-03 11:16:36.092865;11:16:36.280471;2;0.01;10;2;500;50
0.29549;M083;8;0;0;1;2020-07-03 11:16:37.159057;11:16:37.454547;2;0.01;10;2;500;50
0.145254;M120;8;0;0;1;2020-07-03 11:16:41.061256;11:16:41.206510;2;0.01;10;2;500;50
0.135735;M130;8;0;0;1;2020-07-03 11:16:41.803665;11:16:41.939400;2;0.01;10;2;500;50
0.31367;M135;8;0;0;1;2020-07-03 11:16:42.891897;11:16:43.205567;2;0.01;10;2;500;50
0.098317;M162;8;0;0;1;2020-07-03 11:16:45.480260;11:16:45.578577;2;0.01;10;2;500;50
0.287778;M176;8;0;0;1;2020-07-03 11:16:46.867757;11:16:47.155535;2;0.01;10;2;500;50
0.153052;M187;8;0;0;1;2020-07-03 11:16:48.473925;11:16:48.626977;2;0.01;10;2;500;50
0.241176;M164;8;0;0;0;2020-07-03 11:16:49.913793;11:16:50.154969;2;0.01;10;2;500;50
0.265675;M187;8;0;0;0;2020-07-03 11:16:53.577639;11:16:53.843314;2;0.01;10;2;500;50
0.097293;M191;8;0;0;0;2020-07-03 11:16:53.746021;11:16:53.843314;2;0.01;10;2;500;50
0.170508;M239;8;0;0;1;2020-07-03 11:16:54.766365;11:16:54.936873;2;0.01;10;2;500;50
0.16496;M194;8;0;0;0;2020-07-03 11:16:54.772910;11:16:54.937870;2;0.01;10;2;500;50
0.134896;M295;8;0;0;1;2020-07-03 11:17:03.350030;11:17:03.484926;2;0.01;10;2;500;50
0.068775;M273;8;0;0;0;2020-07-03 11:17:05.041355;11:17:05.110130;2;0.01;10;2;500;50
0.163298;M344;8;0;0;1;2020-07-03 11:17:08.822068;11:17:08.985366;2;0.01;10;2;500;50
0.097153;M354;8;0;0;1;2020-07-03 11:17:09.935380;11:17:10.032533;2;0.01;10;2;500;50
0.159761;M376;8;0;0;1;2020-07-03 11:17:12.354262;11:17:12.514023;2;0.01;10;2;500;50
0.065081;M338;8;0;0;0;2020-07-03 11:17:15.045791;11:17:15.110872;2;0.01;10;2;500;50
0.296429;M428;8;0;0;1;2020-07-03 11:17:19.798154;11:17:20.094583;2;0.01;10;2;500;50
0.219218;M448;8;0;0;1;2020-07-03 11:17:22.795370;11:17:23.014588;2;0.01;10;2;500;50
0.101447;M476;8;0;0;1;2020-07-03 11:17:27.217221;11:17:27.318668;2;0.01;10;2;500;50
0.140595;M482;8;0;0;1;2020-07-03 11:17:27.989805;11:17:28.130400;2;0.01;10;2;500;50
0.082898;M487;8;0;0;1;2020-07-03 11:17:28.886014;11:17:28.968912;2;0.01;10;2;500;50
0.126602;M019;8;0;0;1;2020-07-03 11:16:29.888828;11:16:30.015430;2;0.01;10;2;500;50
0.194354;M085;8;0;0;1;2020-07-03 11:16:37.258203;11:16:37.452557;2;0.01;10;2;500;50
0.072106;M076;8;0;0;0;2020-07-03 11:16:38.446073;11:16:38.518179;2;0.01;10;2;500;50
0.493487;M102;8;0;0;1;2020-07-03 11:16:38.664219;11:16:39.157706;2;0.01;10;2;500;50
0.338173;M185;8;0;0;1;2020-07-03 11:16:48.289690;11:16:48.627863;2;0.01;10;2;500;50
0.199905;M218;8;0;0;1;2020-07-03 11:16:52.098409;11:16:52.298314;2;0.01;10;2;500;50
0.094249;M223;8;0;0;1;2020-07-03 11:16:52.796531;11:16:52.890780;2;0.01;10;2;500;50
0.078804;M226;8;0;0;0;2020-07-03 11:16:58.748886;11:16:58.827690;2;0.01;10;2;500;50
0.075332;M281;8;0;0;1;2020-07-03 11:17:00.315380;11:17:00.390712;2;0.01;10;2;500;50
0.235689;M266;8;0;0;0;2020-07-03 11:17:03.782192;11:17:04.017881;2;0.01;10;2;500;50
0.311241;M368;8;0;0;1;2020-07-03 11:17:11.485036;11:17:11.796277;2;0.01;10;2;500;50
0.180982;M398;8;0;0;1;2020-07-03 11:17:15.240605;11:17:15.421587;2;0.01;10;2;500;50
0.319635;M345;8;0;0;0;2020-07-03 11:17:15.993303;11:17:16.312938;2;0.01;10;2;500;50
0.228691;M351;8;0;0;0;2020-07-03 11:17:16.739998;11:17:16.968689;2;0.01;10;2;500;50
0.072971;M370;8;0;0;0;2020-07-03 11:17:20.020619;11:17:20.093590;2;0.01;10;2;500;50
0.141212;M495;8;0;0;1;2020-07-03 11:17:31.611007;11:17:31.752219;2;0.01;10;2;500;50
0.25003;M464;8;0;0;0;2020-07-03 11:17:34.344840;11:17:34.594870;2;0.01;10;2;500;50
0.359891;M468;8;0;0;0;2020-07-03 11:17:35.016354;11:17:35.376245;2;0.01;10;2;500;50
0.186378;M471;8;0;0;0;2020-07-03 11:17:35.190586;11:17:35.376964;2;0.01;10;2;500;50
0.301545;M024;8;0;0;1;2020-07-03 11:16:30.571734;11:16:30.873279;2;0.01;10;2;500;50
0.144024;M074;8;0;0;0;2020-07-03 11:16:38.075317;11:16:38.219341;2;0.01;10;2;500;50
0.342252;M090;8;0;0;0;2020-07-03 11:16:40.347300;11:16:40.689552;2;0.01;10;2;500;50
0.070924;M116;8;0;0;1;2020-07-03 11:16:40.619627;11:16:40.690551;2;0.01;10;2;500;50
0.158671;M099;8;0;0;0;2020-07-03 11:16:41.343917;11:16:41.502588;2;0.01;10;2;500;50
0.074865;M123;8;0;0;0;2020-07-03 11:16:43.861202;11:16:43.936067;2;0.01;10;2;500;50
0.208069;M235;8;0;0;1;2020-07-03 11:16:54.103724;11:16:54.311793;2;0.01;10;2;500;50
0.122912;M236;8;0;0;1;2020-07-03 11:16:54.193707;11:16:54.316619;2;0.01;10;2;500;50
0.144355;M331;8;0;0;1;2020-07-03 11:17:07.029521;11:17:07.173876;2;0.01;10;2;500;50
0.219415;M410;8;0;0;0;2020-07-03 11:17:26.247348;11:17:26.466763;2;0.01;10;2;500;50
0.234835;M478;8;0;0;1;2020-07-03 11:17:27.390369;11:17:27.625204;2;0.01;10;2;500;50
0.361851;M029;8;0;0;1;2020-07-03 11:16:31.373943;11:16:31.735794;2;0.01;10;2;500;50
0.096916;M100;8;0;0;1;2020-07-03 11:16:38.421263;11:16:38.518179;2;0.01;10;2;500;50
0.22203;M082;8;0;0;0;2020-07-03 11:16:39.298718;11:16:39.520748;2;0.01;10;2;500;50
0.216204;M085;8;0;0;0;2020-07-03 11:16:39.831657;11:16:40.047861;2;0.01;10;2;500;50
0.155358;M089;8;0;0;0;2020-07-03 11:16:40.255291;11:16:40.410649;2;0.01;10;2;500;50
0.340855;M114;8;0;0;1;2020-07-03 11:16:40.346703;11:16:40.687558;2;0.01;10;2;500;50
