DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.164846;M021;16;0;0;1;2020-09-04 18:51:53.367704;18:51:53.532550;1;0.025;10;2;500;50
0.11018;M097;16;0;0;1;2020-09-04 18:51:59.360567;18:51:59.470747;1;0.025;10;2;500;50
0.326983;M043;8;0;0;0;2020-09-04 18:51:59.989327;18:52:00.316310;1;0.025;10;2;500;50
0.232522;M074;8;0;0;0;2020-09-04 18:52:03.449075;18:52:03.681597;1;0.025;10;2;500;50
0.138327;M172;16;0;0;1;2020-09-04 18:52:04.559143;18:52:04.697470;1;0.025;10;2;500;50
0.118666;M147;8;0;0;0;2020-09-04 18:52:14.555605;18:52:14.674271;1;0.025;10;2;500;50
0.143351;M320;16;0;0;1;2020-09-04 18:52:15.521522;18:52:15.664873;1;0.025;10;2;500;50
0.231294;M185;8;0;0;0;2020-09-04 18:52:20.767047;18:52:20.998341;1;0.025;10;2;500;50
0.165936;M383;16;0;0;1;2020-09-04 18:52:21.047769;18:52:21.213705;1;0.025;10;2;500;50
0.113407;M388;16;0;0;1;2020-09-04 18:52:21.508785;18:52:21.622192;1;0.025;10;2;500;50
0.172157;M459;16;0;0;1;2020-09-04 18:52:27.925164;18:52:28.097321;1;0.025;10;2;500;50
0.213703;M015;16;0;0;1;2020-09-04 18:51:52.930056;18:51:53.143759;1;0.025;10;2;500;50
0.184655;M104;16;0;0;1;2020-09-04 18:51:59.895284;18:52:00.079939;1;0.025;10;2;500;50
0.190713;M140;16;0;0;1;2020-09-04 18:52:01.912999;18:52:02.103712;1;0.025;10;2;500;50
0.13207;M253;16;0;0;1;2020-09-04 18:52:10.754379;18:52:10.886449;1;0.025;10;2;500;50
0.182309;M287;16;0;0;1;2020-09-04 18:52:13.234086;18:52:13.416395;1;0.025;10;2;500;50
0.10547;M149;8;0;0;0;2020-09-04 18:52:14.944776;18:52:15.050246;1;0.025;10;2;500;50
0.141597;M159;8;0;0;0;2020-09-04 18:52:17.160606;18:52:17.302203;1;0.025;10;2;500;50
0.120035;M344;16;0;0;1;2020-09-04 18:52:17.420287;18:52:17.540322;1;0.025;10;2;500;50
0.1385;M163;8;0;0;0;2020-09-04 18:52:17.761550;18:52:17.900050;1;0.025;10;2;500;50
0.173646;M170;8;0;0;0;2020-09-04 18:52:18.693031;18:52:18.866677;1;0.025;10;2;500;50
0.165162;M182;8;0;0;0;2020-09-04 18:52:20.282278;18:52:20.447440;1;0.025;10;2;500;50
0.125214;M188;8;0;0;0;2020-09-04 18:52:21.388802;18:52:21.514016;1;0.025;10;2;500;50
0.135255;M243;8;0;0;0;2020-09-04 18:52:30.225473;18:52:30.360728;1;0.025;10;2;500;50
0.22188;M311;8;0;0;0;2020-09-04 18:52:38.884478;18:52:39.106358;1;0.025;10;2;500;50
0.200118;M334;8;0;0;0;2020-09-04 18:52:42.202170;18:52:42.402288;1;0.025;10;2;500;50
0.169067;M445;8;0;0;0;2020-09-04 18:52:56.657621;18:52:56.826688;1;0.025;10;2;500;50
0.160131;M488;8;0;0;0;2020-09-04 18:53:02.133730;18:53:02.293861;1;0.025;10;2;500;50
0.448712;M006;16;0;0;1;2020-09-04 18:51:51.905030;18:51:52.353742;1;0.025;10;2;500;50
0.177151;M045;16;0;0;1;2020-09-04 18:51:55.005789;18:51:55.182940;1;0.025;10;2;500;50
0.137308;M007;8;0;0;0;2020-09-04 18:51:55.573412;18:51:55.710720;1;0.025;10;2;500;50
0.220777;M018;8;0;0;0;2020-09-04 18:51:57.082798;18:51:57.303575;1;0.025;10;2;500;50
0.169423;M064;16;0;0;1;2020-09-04 18:51:57.134152;18:51:57.303575;1;0.025;10;2;500;50
0.116226;M023;8;0;0;0;2020-09-04 18:51:57.325429;18:51:57.441655;1;0.025;10;2;500;50
0.245816;M102;16;0;0;1;2020-09-04 18:51:59.695699;18:51:59.941515;1;0.025;10;2;500;50
0.136971;M048;8;0;0;0;2020-09-04 18:52:00.659704;18:52:00.796675;1;0.025;10;2;500;50
0.089775;M049;8;0;0;0;2020-09-04 18:52:00.878000;18:52:00.967775;1;0.025;10;2;500;50
0.1343;M128;16;0;0;1;2020-09-04 18:52:01.571476;18:52:01.705776;1;0.025;10;2;500;50
0.241734;M078;8;0;0;0;2020-09-04 18:52:03.927204;18:52:04.168938;1;0.025;10;2;500;50
0.133309;M096;8;0;0;0;2020-09-04 18:52:06.912053;18:52:07.045362;1;0.025;10;2;500;50
0.177059;M204;16;0;0;1;2020-09-04 18:52:06.974404;18:52:07.151463;1;0.025;10;2;500;50
0.143997;M249;16;0;0;1;2020-09-04 18:52:10.254566;18:52:10.398563;1;0.025;10;2;500;50
0.219369;M130;8;0;0;0;2020-09-04 18:52:11.525464;18:52:11.744833;1;0.025;10;2;500;50
0.142107;M302;16;0;0;1;2020-09-04 18:52:14.448622;18:52:14.590729;1;0.025;10;2;500;50
