DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.241526;M012;11;0;0;3;2020-09-04 19:20:55.248444;19:20:55.489970;1;0.025;10;5;500;50
0.229218;M021;12;0;0;4;2020-09-04 19:20:55.396097;19:20:55.625315;1;0.025;10;5;500;50
0.089322;M023;11;0;0;3;2020-09-04 19:20:56.242719;19:20:56.332041;1;0.025;10;5;500;50
0.101092;M012;8;0;0;0;2020-09-04 19:20:56.463086;19:20:56.564178;1;0.025;10;5;500;50
0.217835;M005;9;0;0;1;2020-09-04 19:20:57.553599;19:20:57.771434;1;0.025;10;5;500;50
0.136833;M053;12;0;0;4;2020-09-04 19:20:59.056023;19:20:59.192856;1;0.025;10;5;500;50
0.154453;M034;9;0;0;1;2020-09-04 19:21:00.890442;19:21:01.044895;1;0.025;10;5;500;50
0.141573;M062;11;0;0;3;2020-09-04 19:21:01.265576;19:21:01.407149;1;0.025;10;5;500;50
0.171845;M063;10;0;0;2;2020-09-04 19:21:01.629355;19:21:01.801200;1;0.025;10;5;500;50
0.15209;M065;10;0;1;2;2020-09-04 19:21:01.712940;19:21:01.865030;1;0.025;10;5;500;50
0.127067;M046;9;0;0;1;2020-09-04 19:21:02.384660;19:21:02.511727;1;0.025;10;5;500;50
0.104043;M075;10;0;0;2;2020-09-04 19:21:02.660558;19:21:02.764601;1;0.025;10;5;500;50
0.132292;M085;10;0;0;2;2020-09-04 19:21:03.288177;19:21:03.420469;1;0.025;10;5;500;50
0.201447;M091;8;0;1;0;2020-09-04 19:21:06.374209;19:21:06.575656;1;0.025;10;5;500;50
0.187291;M094;8;0;1;0;2020-09-04 19:21:06.641092;19:21:06.828383;1;0.025;10;5;500;50
0.156974;M122;11;0;0;3;2020-09-04 19:21:07.960228;19:21:08.117202;1;0.025;10;5;500;50
0.164713;M115;8;0;0;0;2020-09-04 19:21:09.109115;19:21:09.273828;1;0.025;10;5;500;50
0.131775;M146;10;0;0;2;2020-09-04 19:21:09.705467;19:21:09.837242;1;0.025;10;5;500;50
0.174095;M164;11;0;0;3;2020-09-04 19:21:12.382234;19:21:12.556329;1;0.025;10;5;500;50
0.194404;M172;10;0;1;2;2020-09-04 19:21:14.100422;19:21:14.294826;1;0.025;10;5;500;50
0.183735;M224;12;0;0;4;2020-09-04 19:21:15.588488;19:21:15.772223;1;0.025;10;5;500;50
0.116485;M198;10;0;0;2;2020-09-04 19:21:16.862047;19:21:16.978532;1;0.025;10;5;500;50
0.184552;M204;11;0;0;3;2020-09-04 19:21:17.551340;19:21:17.735892;1;0.025;10;5;500;50
0.185564;M206;11;0;1;3;2020-09-04 19:21:17.781167;19:21:17.966731;1;0.025;10;5;500;50
0.314607;M189;8;0;1;0;2020-09-04 19:21:19.206253;19:21:19.520860;1;0.025;10;5;500;50
0.160454;M233;9;0;0;1;2020-09-04 19:21:24.863822;19:21:25.024276;1;0.025;10;5;500;50
0.180982;M284;11;0;0;3;2020-09-04 19:21:25.285748;19:21:25.466730;1;0.025;10;5;500;50
0.093026;M275;10;0;0;2;2020-09-04 19:21:26.308431;19:21:26.401457;1;0.025;10;5;500;50
0.176876;M323;11;0;1;3;2020-09-04 19:21:28.384418;19:21:28.561294;1;0.025;10;5;500;50
0.248686;M311;10;0;1;2;2020-09-04 19:21:30.447125;19:21:30.695811;1;0.025;10;5;500;50
0.250718;M378;12;0;0;4;2020-09-04 19:21:30.928050;19:21:31.178768;1;0.025;10;5;500;50
0.085732;M297;9;0;0;1;2020-09-04 19:21:31.818818;19:21:31.904550;1;0.025;10;5;500;50
0.157987;M372;11;0;0;3;2020-09-04 19:21:32.561210;19:21:32.719197;1;0.025;10;5;500;50
0.145807;M373;11;0;0;3;2020-09-04 19:21:32.665930;19:21:32.811737;1;0.025;10;5;500;50
0.1733;M341;9;0;1;1;2020-09-04 19:21:37.033100;19:21:37.206400;1;0.025;10;5;500;50
0.14316;M441;12;0;0;4;2020-09-04 19:21:37.926501;19:21:38.069661;1;0.025;10;5;500;50
0.295478;M359;9;0;1;1;2020-09-04 19:21:39.687860;19:21:39.983338;1;0.025;10;5;500;50
0.208697;M406;10;0;1;2;2020-09-04 19:21:40.256168;19:21:40.464865;1;0.025;10;5;500;50
0.226396;M467;12;0;1;4;2020-09-04 19:21:40.331803;19:21:40.558199;1;0.025;10;5;500;50
0.24909;M415;10;0;1;2;2020-09-04 19:21:41.017987;19:21:41.267077;1;0.025;10;5;500;50
0.150887;M367;8;0;0;0;2020-09-04 19:21:41.682486;19:21:41.833373;1;0.025;10;5;500;50
0.177177;M474;11;0;0;3;2020-09-04 19:21:43.976091;19:21:44.153268;1;0.025;10;5;500;50
0.150517;M394;8;0;0;0;2020-09-04 19:21:44.975302;19:21:45.125819;1;0.025;10;5;500;50
0.177433;M492;11;0;0;3;2020-09-04 19:21:46.112564;19:21:46.289997;1;0.025;10;5;500;50
0.129806;M470;8;0;0;0;2020-09-04 19:21:56.889341;19:21:57.019147;1;0.025;10;5;500;50
0.174955;M491;9;0;0;1;2020-09-04 19:21:57.490431;19:21:57.665386;1;0.025;10;5;500;50
0.104366;M034;12;0;0;4;2020-09-04 19:20:56.772829;19:20:56.877195;1;0.025;10;5;500;50
0.146059;M014;8;0;0;0;2020-09-04 19:20:56.840487;19:20:56.986546;1;0.025;10;5;500;50
0.175939;M044;10;0;0;2;2020-09-04 19:20:58.858471;19:20:59.034410;1;0.025;10;5;500;50
0.162021;M045;8;0;0;0;2020-09-04 19:21:00.433570;19:21:00.595591;1;0.025;10;5;500;50
0.14383;M043;9;0;0;1;2020-09-04 19:21:01.912690;19:21:02.056520;1;0.025;10;5;500;50
0.091627;M049;9;0;0;1;2020-09-04 19:21:02.830327;19:21:02.921954;1;0.025;10;5;500;50
0.25838;M082;11;0;1;3;2020-09-04 19:21:04.620707;19:21:04.879087;1;0.025;10;5;500;50
0.257124;M107;10;0;1;2;2020-09-04 19:21:05.599808;19:21:05.856932;1;0.025;10;5;500;50
0.250232;M084;8;0;1;0;2020-09-04 19:21:05.930042;19:21:06.180274;1;0.025;10;5;500;50
0.182527;M106;11;0;1;3;2020-09-04 19:21:06.486801;19:21:06.669328;1;0.025;10;5;500;50
0.218753;M113;11;0;1;3;2020-09-04 19:21:06.859816;19:21:07.078569;1;0.025;10;5;500;50
0.159585;M101;9;0;0;1;2020-09-04 19:21:08.847338;19:21:09.006923;1;0.025;10;5;500;50
0.143863;M126;8;0;0;0;2020-09-04 19:21:10.274618;19:21:10.418481;1;0.025;10;5;500;50
0.167869;M129;8;0;0;0;2020-09-04 19:21:11.003109;19:21:11.170978;1;0.025;10;5;500;50
0.13588;M163;11;0;0;3;2020-09-04 19:21:12.328962;19:21:12.464842;1;0.025;10;5;500;50
0.099964;M221;12;0;0;4;2020-09-04 19:21:15.432684;19:21:15.532648;1;0.025;10;5;500;50
0.174737;M203;11;0;0;3;2020-09-04 19:21:17.385719;19:21:17.560456;1;0.025;10;5;500;50
0.258414;M216;11;0;0;3;2020-09-04 19:21:18.398081;19:21:18.656495;1;0.025;10;5;500;50
0.355448;M196;9;0;1;1;2020-09-04 19:21:19.174386;19:21:19.529834;1;0.025;10;5;500;50
0.40518;M223;11;0;1;3;2020-09-04 19:21:19.527084;19:21:19.932264;1;0.025;10;5;500;50
0.293341;M238;11;0;1;3;2020-09-04 19:21:20.945746;19:21:21.239087;1;0.025;10;5;500;50
0.182078;M290;11;0;1;3;2020-09-04 19:21:25.922852;19:21:26.104930;1;0.025;10;5;500;50
0.090614;M295;10;0;0;2;2020-09-04 19:21:29.034720;19:21:29.125334;1;0.025;10;5;500;50
0.182846;M359;12;0;0;4;2020-09-04 19:21:29.307642;19:21:29.490488;1;0.025;10;5;500;50
0.092996;M299;9;0;0;1;2020-09-04 19:21:31.999809;19:21:32.092805;1;0.025;10;5;500;50
0.099718;M309;9;0;0;1;2020-09-04 19:21:33.172433;19:21:33.272151;1;0.025;10;5;500;50
0.18661;M397;12;0;0;4;2020-09-04 19:21:33.320819;19:21:33.507429;1;0.025;10;5;500;50
