DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.209354;M014;12;0;0;4;2020-09-05 15:49:15.217830;15:49:15.427184;3;0.025;10;5;500;50
0.321263;M020;12;0;0;4;2020-09-05 15:49:15.566373;15:49:15.887636;3;0.025;10;5;500;50
0.270144;M015;11;0;0;3;2020-09-05 15:49:15.817210;15:49:16.087354;3;0.025;10;5;500;50
0.246572;M033;12;0;0;4;2020-09-05 15:49:16.915090;15:49:17.161662;3;0.025;10;5;500;50
0.106984;M020;10;0;0;2;2020-09-05 15:49:17.056675;15:49:17.163659;3;0.025;10;5;500;50
0.148199;M057;11;0;0;3;2020-09-05 15:49:19.766327;15:49:19.914526;3;0.025;10;5;500;50
0.223588;M072;12;0;0;4;2020-09-05 15:49:19.928120;15:49:20.151708;3;0.025;10;5;500;50
0.122309;M045;8;0;0;0;2020-09-05 15:49:20.306728;15:49:20.429037;3;0.025;10;5;500;50
0.153916;M084;12;0;0;4;2020-09-05 15:49:21.369266;15:49:21.523182;3;0.025;10;5;500;50
0.128427;M064;10;0;0;2;2020-09-05 15:49:22.282668;15:49:22.411095;3;0.025;10;5;500;50
0.27655;M097;12;0;0;4;2020-09-05 15:49:23.118486;15:49:23.395036;3;0.025;10;5;500;50
0.112439;M099;12;0;0;4;2020-09-05 15:49:23.281579;15:49:23.394018;3;0.025;10;5;500;50
0.192277;M075;10;0;0;2;2020-09-05 15:49:23.517298;15:49:23.709575;3;0.025;10;5;500;50
0.217302;M099;11;0;0;3;2020-09-05 15:49:23.975941;15:49:24.193243;3;0.025;10;5;500;50
0.230242;M113;12;0;0;4;2020-09-05 15:49:24.386522;15:49:24.616764;3;0.025;10;5;500;50
0.262158;M116;12;0;0;4;2020-09-05 15:49:24.768555;15:49:25.030713;3;0.025;10;5;500;50
0.084381;M093;10;0;0;2;2020-09-05 15:49:25.603919;15:49:25.688300;3;0.025;10;5;500;50
0.180487;M096;10;0;0;2;2020-09-05 15:49:25.815474;15:49:25.995961;3;0.025;10;5;500;50
0.203735;M133;12;0;0;4;2020-09-05 15:49:26.184611;15:49:26.388346;3;0.025;10;5;500;50
0.157667;M081;8;0;0;0;2020-09-05 15:49:26.230679;15:49:26.388346;3;0.025;10;5;500;50
0.225838;M092;8;0;0;0;2020-09-05 15:49:29.161448;15:49:29.387286;3;0.025;10;5;500;50
0.208059;M155;11;0;0;3;2020-09-05 15:49:29.177239;15:49:29.385298;3;0.025;10;5;500;50
0.216546;M166;11;0;0;3;2020-09-05 15:49:30.361250;15:49:30.577796;3;0.025;10;5;500;50
0.209044;M130;9;0;0;1;2020-09-05 15:49:31.147505;15:49:31.356549;3;0.025;10;5;500;50
0.082623;M174;12;0;0;4;2020-09-05 15:49:31.272929;15:49:31.355552;3;0.025;10;5;500;50
0.185383;M175;12;0;0;4;2020-09-05 15:49:31.404551;15:49:31.589934;3;0.025;10;5;500;50
0.102582;M161;9;0;0;1;2020-09-05 15:49:35.671030;15:49:35.773612;3;0.025;10;5;500;50
0.138418;M172;8;0;0;0;2020-09-05 15:49:39.848870;15:49:39.987288;3;0.025;10;5;500;50
0.092492;M292;12;0;0;4;2020-09-05 15:49:41.752391;15:49:41.844883;3;0.025;10;5;500;50
0.246419;M191;8;0;0;0;2020-09-05 15:49:42.065426;15:49:42.311845;3;0.025;10;5;500;50
0.226087;M305;12;0;0;4;2020-09-05 15:49:42.888029;15:49:43.114116;3;0.025;10;5;500;50
0.148772;M291;11;0;0;3;2020-09-05 15:49:43.322233;15:49:43.471005;3;0.025;10;5;500;50
0.174612;M233;9;0;0;1;2020-09-05 15:49:43.436452;15:49:43.611064;3;0.025;10;5;500;50
0.091;M284;10;0;0;2;2020-09-05 15:49:44.945905;15:49:45.036905;3;0.025;10;5;500;50
0.212554;M266;9;0;0;1;2020-09-05 15:49:48.024530;15:49:48.237084;3;0.025;10;5;500;50
0.186128;M311;10;0;0;2;2020-09-05 15:49:48.050956;15:49:48.237084;3;0.025;10;5;500;50
0.135559;M317;10;0;0;2;2020-09-05 15:49:48.647322;15:49:48.782881;3;0.025;10;5;500;50
0.236001;M334;10;0;0;2;2020-09-05 15:49:49.939951;15:49:50.175952;3;0.025;10;5;500;50
0.161932;M336;10;0;0;2;2020-09-05 15:49:50.013028;15:49:50.174960;3;0.025;10;5;500;50
0.202049;M349;10;0;0;2;2020-09-05 15:49:51.364915;15:49:51.566964;3;0.025;10;5;500;50
0.185506;M394;12;0;0;4;2020-09-05 15:49:52.541767;15:49:52.727273;3;0.025;10;5;500;50
0.384786;M318;9;0;0;1;2020-09-05 15:49:53.979571;15:49:54.364357;3;0.025;10;5;500;50
0.231332;M383;10;0;0;2;2020-09-05 15:49:55.008157;15:49:55.239489;3;0.025;10;5;500;50
0.267568;M423;12;0;0;4;2020-09-05 15:49:55.320374;15:49:55.587942;3;0.025;10;5;500;50
0.303923;M286;8;0;0;0;2020-09-05 15:49:56.406632;15:49:56.710555;3;0.025;10;5;500;50
0.108374;M295;8;0;0;0;2020-09-05 15:49:57.445254;15:49:57.553628;3;0.025;10;5;500;50
0.364871;M451;12;0;0;4;2020-09-05 15:49:57.874817;15:49:58.239688;3;0.025;10;5;500;50
0.146997;M463;12;0;0;4;2020-09-05 15:49:59.188419;15:49:59.335416;3;0.025;10;5;500;50
0.187235;M325;8;0;0;0;2020-09-05 15:50:01.597289;15:50:01.784524;3;0.025;10;5;500;50
0.099024;M335;8;0;0;0;2020-09-05 15:50:03.000268;15:50:03.099292;3;0.025;10;5;500;50
0.206302;M485;10;0;0;2;2020-09-05 15:50:06.609636;15:50:06.815938;3;0.025;10;5;500;50
0.251246;M477;8;0;0;0;2020-09-05 15:50:23.315777;15:50:23.567023;3;0.025;10;5;500;50
0.351229;M004;8;0;0;0;2020-09-05 15:49:14.502182;15:49:14.853411;3;0.025;10;5;500;50
0.150276;M021;9;0;0;1;2020-09-05 15:49:18.273121;15:49:18.423397;3;0.025;10;5;500;50
0.317799;M069;9;0;0;1;2020-09-05 15:49:23.875444;15:49:24.193243;3;0.025;10;5;500;50
0.214522;M117;12;0;0;4;2020-09-05 15:49:24.815195;15:49:25.029717;3;0.025;10;5;500;50
0.095001;M122;12;0;0;4;2020-09-05 15:49:25.219062;15:49:25.314063;3;0.025;10;5;500;50
0.201933;M112;10;0;0;2;2020-09-05 15:49:27.215615;15:49:27.417548;3;0.025;10;5;500;50
0.149079;M114;10;0;0;2;2020-09-05 15:49:27.440061;15:49:27.589140;3;0.025;10;5;500;50
0.271072;M089;8;0;0;0;2020-09-05 15:49:28.396211;15:49:28.667283;3;0.025;10;5;500;50
0.152194;M106;9;0;0;1;2020-09-05 15:49:29.080951;15:49:29.233145;3;0.025;10;5;500;50
0.161372;M108;9;0;0;1;2020-09-05 15:49:29.224919;15:49:29.386291;3;0.025;10;5;500;50
0.111801;M161;11;0;0;3;2020-09-05 15:49:29.823945;15:49:29.935746;3;0.025;10;5;500;50
0.183127;M147;10;0;0;2;2020-09-05 15:49:30.393656;15:49:30.576783;3;0.025;10;5;500;50
0.281196;M174;11;0;0;3;2020-09-05 15:49:30.951603;15:49:31.232799;3;0.025;10;5;500;50
0.207836;M162;10;0;0;2;2020-09-05 15:49:31.618952;15:49:31.826788;3;0.025;10;5;500;50
0.173117;M166;10;0;0;2;2020-09-05 15:49:32.060934;15:49:32.234051;3;0.025;10;5;500;50
0.174044;M127;8;0;0;0;2020-09-05 15:49:34.028617;15:49:34.202661;3;0.025;10;5;500;50
0.192531;M153;9;0;0;1;2020-09-05 15:49:34.777136;15:49:34.969667;3;0.025;10;5;500;50
