DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.775338;M081;16;0;0;1;2020-09-08 00:28:21.514538;00:28:22.289876;3;0.025;20;2;500;50
0.678223;M084;16;0;0;1;2020-09-08 00:28:21.612654;00:28:22.290877;3;0.025;20;2;500;50
0.158093;M113;16;0;0;1;2020-09-08 00:28:23.892107;00:28:24.050200;3;0.025;20;2;500;50
0.655573;M085;8;0;0;0;2020-09-08 00:28:26.495403;00:28:27.150976;3;0.025;20;2;500;50
0.581054;M128;8;0;0;0;2020-09-08 00:28:32.790309;00:28:33.371363;3;0.025;20;2;500;50
1.241257;M225;16;0;0;1;2020-09-08 00:28:33.287651;00:28:34.528908;3;0.025;20;2;500;50
1.29045;M236;16;0;0;1;2020-09-08 00:28:34.499056;00:28:35.789506;3;0.025;20;2;500;50
0.228056;M247;16;0;0;1;2020-09-08 00:28:35.562283;00:28:35.790339;3;0.025;20;2;500;50
0.892024;M263;16;0;0;1;2020-09-08 00:28:37.021819;00:28:37.913843;3;0.025;20;2;500;50
0.098995;M186;8;0;0;0;2020-09-08 00:28:41.089029;00:28:41.188024;3;0.025;20;2;500;50
0.14784;M326;16;0;0;1;2020-09-08 00:28:41.667665;00:28:41.815505;3;0.025;20;2;500;50
0.855227;M369;16;0;0;1;2020-09-08 00:28:44.314471;00:28:45.169698;3;0.025;20;2;500;50
1.085152;M427;16;0;0;1;2020-09-08 00:28:48.089949;00:28:49.175101;3;0.025;20;2;500;50
0.486574;M458;16;0;0;1;2020-09-08 00:28:50.663068;00:28:51.149642;3;0.025;20;2;500;50
1.707106;M304;8;0;0;0;2020-09-08 00:28:56.725771;00:28:58.432877;3;0.025;20;2;500;50
2.469942;M346;8;0;0;0;2020-09-08 00:29:01.532646;00:29:04.002588;3;0.025;20;2;500;50
2.257257;M347;8;0;0;0;2020-09-08 00:29:01.747312;00:29:04.004569;3;0.025;20;2;500;50
0.905841;M354;8;0;0;0;2020-09-08 00:29:03.094751;00:29:04.000592;3;0.025;20;2;500;50
1.069345;M393;8;0;0;0;2020-09-08 00:29:07.631716;00:29:08.701061;3;0.025;20;2;500;50
1.820779;M461;8;0;0;0;2020-09-08 00:29:17.778136;00:29:19.598915;3;0.025;20;2;500;50
0.317997;M014;8;0;0;0;2020-09-08 00:28:16.899079;00:28:17.217076;3;0.025;20;2;500;50
1.068004;M024;16;0;0;1;2020-09-08 00:28:17.128767;00:28:18.196771;3;0.025;20;2;500;50
0.589144;M085;16;0;0;1;2020-09-08 00:28:21.697743;00:28:22.286887;3;0.025;20;2;500;50
0.261346;M046;8;0;0;0;2020-09-08 00:28:22.029531;00:28:22.290877;3;0.025;20;2;500;50
0.361553;M126;16;0;0;1;2020-09-08 00:28:24.789551;00:28:25.151104;3;0.025;20;2;500;50
1.020668;M156;16;0;0;1;2020-09-08 00:28:27.523920;00:28:28.544588;3;0.025;20;2;500;50
0.098477;M176;16;0;0;1;2020-09-08 00:28:29.630754;00:28:29.729231;3;0.025;20;2;500;50
0.34814;M113;8;0;0;0;2020-09-08 00:28:31.093343;00:28:31.441483;3;0.025;20;2;500;50
0.471343;M207;16;0;0;1;2020-09-08 00:28:31.996621;00:28:32.467964;3;0.025;20;2;500;50
1.073064;M228;16;0;0;1;2020-09-08 00:28:33.456834;00:28:34.529898;3;0.025;20;2;500;50
