DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.701766;M000;8;0;0;0;2020-07-04 22:10:46.380089;22:10:47.081855;2;0.1;20;2;500;50
0.127152;M041;9;0;0;1;2020-07-04 22:10:52.546173;22:10:52.673325;2;0.1;20;2;500;50
0.17777;M060;8;0;0;0;2020-07-04 22:10:54.481073;22:10:54.658843;2;0.1;20;2;500;50
0.424212;M057;9;0;0;1;2020-07-04 22:10:55.019381;22:10:55.443593;2;0.1;20;2;500;50
0.191064;M130;8;0;0;0;2020-07-04 22:11:03.666829;22:11:03.857893;2;0.1;20;2;500;50
0.1298;M150;9;0;0;1;2020-07-04 22:11:05.377095;22:11:05.506895;2;0.1;20;2;500;50
0.235152;M171;9;0;0;1;2020-07-04 22:11:07.451918;22:11:07.687070;2;0.1;20;2;500;50
0.220352;M203;9;0;0;1;2020-07-04 22:11:11.414064;22:11:11.634416;2;0.1;20;2;500;50
0.15049;M201;8;0;0;0;2020-07-04 22:11:12.811751;22:11:12.962241;2;0.1;20;2;500;50
0.213177;M262;9;0;0;1;2020-07-04 22:11:18.625938;22:11:18.839115;2;0.1;20;2;500;50
0.140644;M318;9;0;0;1;2020-07-04 22:11:25.160330;22:11:25.300974;2;0.1;20;2;500;50
0.128147;M305;8;0;0;0;2020-07-04 22:11:26.696176;22:11:26.824323;2;0.1;20;2;500;50
0.139643;M335;9;0;0;1;2020-07-04 22:11:27.609011;22:11:27.748654;2;0.1;20;2;500;50
0.198451;M356;8;0;0;0;2020-07-04 22:11:33.529218;22:11:33.727669;2;0.1;20;2;500;50
0.209413;M410;8;0;0;0;2020-07-04 22:11:40.042617;22:11:40.252030;2;0.1;20;2;500;50
0.287942;M462;8;0;0;0;2020-07-04 22:11:48.793064;22:11:49.081006;2;0.1;20;2;500;50
0.616391;M001;8;0;0;0;2020-07-04 22:10:46.465464;22:10:47.081855;2;0.1;20;2;500;50
0.335733;M041;8;0;0;0;2020-07-04 22:10:51.884571;22:10:52.220304;2;0.1;20;2;500;50
0.089222;M072;9;0;0;1;2020-07-04 22:10:56.655807;22:10:56.745029;2;0.1;20;2;500;50
0.266085;M077;9;0;0;1;2020-07-04 22:10:57.099804;22:10:57.365889;2;0.1;20;2;500;50
0.098607;M085;9;0;0;1;2020-07-04 22:10:57.595208;22:10:57.693815;2;0.1;20;2;500;50
0.327755;M088;8;0;0;0;2020-07-04 22:10:58.428657;22:10:58.756412;2;0.1;20;2;500;50
0.252755;M100;8;0;0;0;2020-07-04 22:10:59.767353;22:11:00.020108;2;0.1;20;2;500;50
0.273866;M116;8;0;0;0;2020-07-04 22:11:01.785979;22:11:02.059845;2;0.1;20;2;500;50
0.183947;M126;8;0;0;0;2020-07-04 22:11:03.025711;22:11:03.209658;2;0.1;20;2;500;50
0.240052;M149;8;0;0;0;2020-07-04 22:11:06.009865;22:11:06.249917;2;0.1;20;2;500;50
0.162739;M208;8;0;0;0;2020-07-04 22:11:13.580559;22:11:13.743298;2;0.1;20;2;500;50
0.198327;M248;8;0;0;0;2020-07-04 22:11:19.110929;22:11:19.309256;2;0.1;20;2;500;50
0.172595;M267;9;0;0;1;2020-07-04 22:11:19.459341;22:11:19.631936;2;0.1;20;2;500;50
0.198753;M296;9;0;0;1;2020-07-04 22:11:22.846942;22:11:23.045695;2;0.1;20;2;500;50
0.255812;M422;8;0;0;0;2020-07-04 22:11:41.615088;22:11:41.870900;2;0.1;20;2;500;50
0.209718;M463;9;0;0;1;2020-07-04 22:11:44.307928;22:11:44.517646;2;0.1;20;2;500;50
0.112819;M445;8;0;0;0;2020-07-04 22:11:46.009212;22:11:46.122031;2;0.1;20;2;500;50
0.229355;M479;9;0;0;1;2020-07-04 22:11:46.592096;22:11:46.821451;2;0.1;20;2;500;50
0.235631;M481;8;0;0;0;2020-07-04 22:11:51.792341;22:11:52.027972;2;0.1;20;2;500;50
0.162442;M494;8;0;0;0;2020-07-04 22:11:53.550166;22:11:53.712608;2;0.1;20;2;500;50
0.08799;M499;8;0;0;0;2020-07-04 22:11:54.209176;22:11:54.297166;2;0.1;20;2;500;50
0.510371;M020;9;0;0;1;2020-07-04 22:10:49.901621;22:10:50.411992;2;0.1;20;2;500;50
0.476217;M026;9;0;0;1;2020-07-04 22:10:50.357560;22:10:50.833777;2;0.1;20;2;500;50
0.133478;M051;9;0;0;1;2020-07-04 22:10:54.228728;22:10:54.362206;2;0.1;20;2;500;50
0.389954;M058;9;0;0;1;2020-07-04 22:10:55.053639;22:10:55.443593;2;0.1;20;2;500;50
0.415297;M074;8;0;0;0;2020-07-04 22:10:55.941527;22:10:56.356824;2;0.1;20;2;500;50
0.131773;M084;9;0;0;1;2020-07-04 22:10:57.562042;22:10:57.693815;2;0.1;20;2;500;50
0.165195;M111;8;0;0;0;2020-07-04 22:11:01.539464;22:11:01.704659;2;0.1;20;2;500;50
0.19611;M124;9;0;0;1;2020-07-04 22:11:02.057568;22:11:02.253678;2;0.1;20;2;500;50
0.162358;M162;8;0;0;0;2020-07-04 22:11:07.993349;22:11:08.155707;2;0.1;20;2;500;50
0.260867;M169;8;0;0;0;2020-07-04 22:11:08.644668;22:11:08.905535;2;0.1;20;2;500;50
0.229054;M205;9;0;0;1;2020-07-04 22:11:11.733424;22:11:11.962478;2;0.1;20;2;500;50
0.212357;M204;8;0;0;0;2020-07-04 22:11:13.046682;22:11:13.259039;2;0.1;20;2;500;50
0.086946;M256;8;0;0;0;2020-07-04 22:11:20.227754;22:11:20.314700;2;0.1;20;2;500;50
0.12681;M308;8;0;0;0;2020-07-04 22:11:27.010629;22:11:27.137439;2;0.1;20;2;500;50
0.146922;M324;8;0;0;0;2020-07-04 22:11:29.043146;22:11:29.190068;2;0.1;20;2;500;50
0.174661;M339;8;0;0;0;2020-07-04 22:11:30.650890;22:11:30.825551;2;0.1;20;2;500;50
0.185837;M386;9;0;0;1;2020-07-04 22:11:33.807395;22:11:33.993232;2;0.1;20;2;500;50
0.141844;M434;9;0;0;1;2020-07-04 22:11:38.978107;22:11:39.119951;2;0.1;20;2;500;50
0.118367;M447;9;0;0;1;2020-07-04 22:11:41.877585;22:11:41.995952;2;0.1;20;2;500;50
0.198724;M440;8;0;0;0;2020-07-04 22:11:45.064101;22:11:45.262825;2;0.1;20;2;500;50
0.576429;M011;8;0;0;0;2020-07-04 22:10:47.792842;22:10:48.369271;2;0.1;20;2;500;50
0.111895;M015;8;0;0;0;2020-07-04 22:10:48.257376;22:10:48.369271;2;0.1;20;2;500;50
0.286928;M064;9;0;0;1;2020-07-04 22:10:55.671764;22:10:55.958692;2;0.1;20;2;500;50
0.184304;M086;8;0;0;0;2020-07-04 22:10:58.181267;22:10:58.365571;2;0.1;20;2;500;50
0.213486;M133;9;0;0;1;2020-07-04 22:11:03.392903;22:11:03.606389;2;0.1;20;2;500;50
0.213288;M143;9;0;0;1;2020-07-04 22:11:04.684165;22:11:04.897453;2;0.1;20;2;500;50
0.19722;M192;9;0;0;1;2020-07-04 22:11:10.046901;22:11:10.244121;2;0.1;20;2;500;50
0.213287;M204;9;0;0;1;2020-07-04 22:11:11.577346;22:11:11.790633;2;0.1;20;2;500;50
0.195207;M229;9;0;0;1;2020-07-04 22:11:14.895619;22:11:15.090826;2;0.1;20;2;500;50
0.165766;M238;9;0;0;1;2020-07-04 22:11:15.402413;22:11:15.568179;2;0.1;20;2;500;50
0.195181;M250;9;0;0;1;2020-07-04 22:11:17.322001;22:11:17.517182;2;0.1;20;2;500;50
0.163165;M301;8;0;0;0;2020-07-04 22:11:26.066281;22:11:26.229446;2;0.1;20;2;500;50
0.099524;M354;9;0;0;1;2020-07-04 22:11:29.215328;22:11:29.314852;2;0.1;20;2;500;50
0.12508;M432;9;0;0;1;2020-07-04 22:11:38.713745;22:11:38.838825;2;0.1;20;2;500;50
0.12916;M430;8;0;0;0;2020-07-04 22:11:42.611287;22:11:42.740447;2;0.1;20;2;500;50
0.195153;M468;9;0;0;1;2020-07-04 22:11:45.348882;22:11:45.544035;2;0.1;20;2;500;50
0.192934;M485;9;0;0;1;2020-07-04 22:11:47.058363;22:11:47.251297;2;0.1;20;2;500;50
0.353185;M025;8;0;0;0;2020-07-04 22:10:49.059987;22:10:49.413172;2;0.1;20;2;500;50
0.125256;M042;8;0;0;0;2020-07-04 22:10:52.095048;22:10:52.220304;2;0.1;20;2;500;50
0.274154;M103;8;0;0;0;2020-07-04 22:11:00.312776;22:11:00.586930;2;0.1;20;2;500;50
0.096407;M131;8;0;0;0;2020-07-04 22:11:03.761486;22:11:03.857893;2;0.1;20;2;500;50
0.104741;M135;9;0;0;1;2020-07-04 22:11:03.956525;22:11:04.061266;2;0.1;20;2;500;50
0.124279;M189;8;0;0;0;2020-07-04 22:11:11.838199;22:11:11.962478;2;0.1;20;2;500;50
0.197233;M216;9;0;0;1;2020-07-04 22:11:13.389852;22:11:13.587085;2;0.1;20;2;500;50
0.121246;M242;9;0;0;1;2020-07-04 22:11:16.061048;22:11:16.182294;2;0.1;20;2;500;50
0.181359;M243;9;0;0;1;2020-07-04 22:11:16.188029;22:11:16.369388;2;0.1;20;2;500;50
0.163841;M273;9;0;0;1;2020-07-04 22:11:20.344732;22:11:20.508573;2;0.1;20;2;500;50
0.136223;M304;9;0;0;1;2020-07-04 22:11:23.980810;22:11:24.117033;2;0.1;20;2;500;50
0.133914;M289;8;0;0;0;2020-07-04 22:11:24.442055;22:11:24.575969;2;0.1;20;2;500;50
0.202186;M298;8;0;0;0;2020-07-04 22:11:25.871048;22:11:26.073234;2;0.1;20;2;500;50
0.110632;M322;8;0;0;0;2020-07-04 22:11:28.485682;22:11:28.596314;2;0.1;20;2;500;50
0.119728;M365;9;0;0;1;2020-07-04 22:11:30.992948;22:11:31.112676;2;0.1;20;2;500;50
0.220702;M353;8;0;0;0;2020-07-04 22:11:33.377241;22:11:33.597943;2;0.1;20;2;500;50
0.185334;M389;9;0;0;1;2020-07-04 22:11:33.948543;22:11:34.133877;2;0.1;20;2;500;50
0.097897;M401;9;0;0;1;2020-07-04 22:11:35.497112;22:11:35.595009;2;0.1;20;2;500;50
0.197463;M403;9;0;0;1;2020-07-04 22:11:35.692203;22:11:35.889666;2;0.1;20;2;500;50
0.115415;M403;8;0;0;0;2020-07-04 22:11:39.432375;22:11:39.547790;2;0.1;20;2;500;50
0.167469;M459;9;0;0;1;2020-07-04 22:11:43.772503;22:11:43.939972;2;0.1;20;2;500;50
0.194539;M480;9;0;0;1;2020-07-04 22:11:46.626912;22:11:46.821451;2;0.1;20;2;500;50
0.145497;M449;8;0;0;0;2020-07-04 22:11:46.675954;22:11:46.821451;2;0.1;20;2;500;50
0.208306;M460;8;0;0;0;2020-07-04 22:11:48.622619;22:11:48.830925;2;0.1;20;2;500;50
0.303042;M466;8;0;0;0;2020-07-04 22:11:49.083794;22:11:49.386836;2;0.1;20;2;500;50
0.249888;M491;8;0;0;0;2020-07-04 22:11:53.221504;22:11:53.471392;2;0.1;20;2;500;50
0.357227;M033;8;0;0;0;2020-07-04 22:10:50.476550;22:10:50.833777;2;0.1;20;2;500;50
0.177944;M036;9;0;0;1;2020-07-04 22:10:51.607193;22:10:51.785137;2;0.1;20;2;500;50
0.096139;M045;9;0;0;1;2020-07-04 22:10:53.470721;22:10:53.566860;2;0.1;20;2;500;50
0.175433;M108;8;0;0;0;2020-07-04 22:11:00.910461;22:11:01.085894;2;0.1;20;2;500;50
0.114314;M144;8;0;0;0;2020-07-04 22:11:05.392581;22:11:05.506895;2;0.1;20;2;500;50
0.159669;M175;9;0;0;1;2020-07-04 22:11:07.652378;22:11:07.812047;2;0.1;20;2;500;50
0.259626;M187;9;0;0;1;2020-07-04 22:11:09.625205;22:11:09.884831;2;0.1;20;2;500;50
0.194265;M178;8;0;0;0;2020-07-04 22:11:10.752813;22:11:10.947078;2;0.1;20;2;500;50
0.087256;M199;8;0;0;0;2020-07-04 22:11:12.687530;22:11:12.774786;2;0.1;20;2;500;50
0.209622;M202;8;0;0;0;2020-07-04 22:11:12.908821;22:11:13.118443;2;0.1;20;2;500;50
0.08075;M222;9;0;0;1;2020-07-04 22:11:14.318647;22:11:14.399397;2;0.1;20;2;500;50
0.238996;M231;9;0;0;1;2020-07-04 22:11:15.010577;22:11:15.249573;2;0.1;20;2;500;50
0.169391;M291;9;0;0;1;2020-07-04 22:11:22.447248;22:11:22.616639;2;0.1;20;2;500;50
0.20901;M306;9;0;0;1;2020-07-04 22:11:24.226819;22:11:24.435829;2;0.1;20;2;500;50
0.20397;M334;8;0;0;0;2020-07-04 22:11:30.318502;22:11:30.522472;2;0.1;20;2;500;50
0.154988;M357;8;0;0;0;2020-07-04 22:11:33.572681;22:11:33.727669;2;0.1;20;2;500;50
0.216144;M359;8;0;0;0;2020-07-04 22:11:33.777088;22:11:33.993232;2;0.1;20;2;500;50
0.203972;M390;9;0;0;1;2020-07-04 22:11:34.070547;22:11:34.274519;2;0.1;20;2;500;50
0.198959;M365;8;0;0;0;2020-07-04 22:11:34.659848;22:11:34.858807;2;0.1;20;2;500;50
0.166453;M406;9;0;0;1;2020-07-04 22:11:35.863476;22:11:36.029929;2;0.1;20;2;500;50
0.178985;M433;9;0;0;1;2020-07-04 22:11:38.816289;22:11:38.995274;2;0.1;20;2;500;50
0.184418;M418;8;0;0;0;2020-07-04 22:11:41.069277;22:11:41.253695;2;0.1;20;2;500;50
0.151517;M428;8;0;0;0;2020-07-04 22:11:42.447931;22:11:42.599448;2;0.1;20;2;500;50
0.084634;M486;9;0;0;1;2020-07-04 22:11:47.166663;22:11:47.251297;2;0.1;20;2;500;50
0.116081;M490;8;0;0;0;2020-07-04 22:11:53.042796;22:11:53.158877;2;0.1;20;2;500;50
0.335313;M492;8;0;0;0;2020-07-04 22:11:53.377295;22:11:53.712608;2;0.1;20;2;500;50
0.342561;M054;9;0;0;1;2020-07-04 22:10:54.694880;22:10:55.037441;2;0.1;20;2;500;50
0.183162;M084;8;0;0;0;2020-07-04 22:10:57.901485;22:10:58.084647;2;0.1;20;2;500;50
0.264888;M112;9;0;0;1;2020-07-04 22:11:00.821006;22:11:01.085894;2;0.1;20;2;500;50
0.125241;M126;9;0;0;1;2020-07-04 22:11:02.383670;22:11:02.508911;2;0.1;20;2;500;50
0.080812;M151;9;0;0;1;2020-07-04 22:11:05.426083;22:11:05.506895;2;0.1;20;2;500;50
0.175552;M156;9;0;0;1;2020-07-04 22:11:05.722019;22:11:05.897571;2;0.1;20;2;500;50
0.127101;M151;8;0;0;0;2020-07-04 22:11:06.122816;22:11:06.249917;2;0.1;20;2;500;50
0.234051;M171;8;0;0;0;2020-07-04 22:11:09.093255;22:11:09.327306;2;0.1;20;2;500;50
0.206523;M215;8;0;0;0;2020-07-04 22:11:14.370215;22:11:14.576738;2;0.1;20;2;500;50
0.142222;M237;8;0;0;0;2020-07-04 22:11:17.249988;22:11:17.392210;2;0.1;20;2;500;50
0.161703;M252;9;0;0;1;2020-07-04 22:11:17.355479;22:11:17.517182;2;0.1;20;2;500;50
0.22035;M257;8;0;0;0;2020-07-04 22:11:20.428413;22:11:20.648763;2;0.1;20;2;500;50
0.207244;M344;9;0;0;1;2020-07-04 22:11:28.389070;22:11:28.596314;2;0.1;20;2;500;50
0.136398;M405;8;0;0;0;2020-07-04 22:11:39.536042;22:11:39.672440;2;0.1;20;2;500;50
0.172526;M450;8;0;0;0;2020-07-04 22:11:47.078771;22:11:47.251297;2;0.1;20;2;500;50
0.244679;M002;9;0;0;1;2020-07-04 22:10:47.437252;22:10:47.681931;2;0.1;20;2;500;50
0.166326;M021;8;0;0;0;2020-07-04 22:10:48.746959;22:10:48.913285;2;0.1;20;2;500;50
0.11296;M016;9;0;0;1;2020-07-04 22:10:49.300212;22:10:49.413172;2;0.1;20;2;500;50
0.145919;M044;9;0;0;1;2020-07-04 22:10:53.420941;22:10:53.566860;2;0.1;20;2;500;50
0.343011;M061;8;0;0;0;2020-07-04 22:10:54.694430;22:10:55.037441;2;0.1;20;2;500;50
0.158024;M104;8;0;0;0;2020-07-04 22:11:00.430856;22:11:00.588880;2;0.1;20;2;500;50
0.156739;M113;9;0;0;1;2020-07-04 22:11:00.929155;22:11:01.085894;2;0.1;20;2;500;50
0.141099;M159;9;0;0;1;2020-07-04 22:11:06.108818;22:11:06.249917;2;0.1;20;2;500;50
0.300866;M157;8;0;0;0;2020-07-04 22:11:06.980046;22:11:07.280912;2;0.1;20;2;500;50
0.219824;M248;9;0;0;1;2020-07-04 22:11:16.985391;22:11:17.205215;2;0.1;20;2;500;50
0.139678;M240;8;0;0;0;2020-07-04 22:11:17.857772;22:11:17.997450;2;0.1;20;2;500;50
0.234008;M265;9;0;0;1;2020-07-04 22:11:18.902040;22:11:19.136048;2;0.1;20;2;500;50
0.162384;M285;9;0;0;1;2020-07-04 22:11:22.008537;22:11:22.170921;2;0.1;20;2;500;50
0.233762;M325;9;0;0;1;2020-07-04 22:11:26.465232;22:11:26.698994;2;0.1;20;2;500;50
0.133063;M321;8;0;0;0;2020-07-04 22:11:28.463251;22:11:28.596314;2;0.1;20;2;500;50
0.082729;M361;8;0;0;0;2020-07-04 22:11:34.051148;22:11:34.133877;2;0.1;20;2;500;50
0.090667;M399;9;0;0;1;2020-07-04 22:11:35.207580;22:11:35.298247;2;0.1;20;2;500;50
0.134253;M413;9;0;0;1;2020-07-04 22:11:36.611381;22:11:36.745634;2;0.1;20;2;500;50
0.233205;M401;8;0;0;0;2020-07-04 22:11:39.189282;22:11:39.422487;2;0.1;20;2;500;50
0.11338;M493;9;0;0;1;2020-07-04 22:11:48.014586;22:11:48.127966;2;0.1;20;2;500;50
0.222196;M494;9;0;0;1;2020-07-04 22:11:48.046618;22:11:48.268814;2;0.1;20;2;500;50
0.248362;M476;8;0;0;0;2020-07-04 22:11:50.880632;22:11:51.128994;2;0.1;20;2;500;50
0.371412;M075;8;0;0;0;2020-07-04 22:10:55.985412;22:10:56.356824;2;0.1;20;2;500;50
