DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.41341;M039;12;0;0;4;2020-09-07 23:28:51.577376;23:28:51.990786;3;0.025;20;5;500;50
0.342863;M036;11;0;0;3;2020-09-07 23:28:51.647923;23:28:51.990786;3;0.025;20;5;500;50
0.085171;M039;10;0;0;2;2020-09-07 23:28:51.906611;23:28:51.991782;3;0.025;20;5;500;50
0.190172;M044;12;0;0;4;2020-09-07 23:28:52.258804;23:28:52.448976;3;0.025;20;5;500;50
0.284815;M049;12;0;0;4;2020-09-07 23:28:52.606050;23:28:52.890865;3;0.025;20;5;500;50
0.340611;M048;10;0;0;2;2020-09-07 23:28:53.100033;23:28:53.440644;3;0.025;20;5;500;50
0.446354;M064;12;0;0;4;2020-09-07 23:28:54.492981;23:28:54.939335;3;0.025;20;5;500;50
0.087643;M072;11;0;0;3;2020-09-07 23:28:55.226302;23:28:55.313945;3;0.025;20;5;500;50
0.203767;M079;12;0;0;4;2020-09-07 23:28:56.067069;23:28:56.270836;3;0.025;20;5;500;50
0.252566;M085;11;0;0;3;2020-09-07 23:28:56.413653;23:28:56.666219;3;0.025;20;5;500;50
0.090622;M103;11;0;0;3;2020-09-07 23:28:57.689257;23:28:57.779879;3;0.025;20;5;500;50
0.448829;M112;11;0;0;3;2020-09-07 23:28:58.518494;23:28:58.967323;3;0.025;20;5;500;50
0.377444;M110;10;0;0;2;2020-09-07 23:29:00.789840;23:29:01.167284;3;0.025;20;5;500;50
0.257449;M152;9;0;0;1;2020-09-07 23:29:04.732965;23:29:04.990414;3;0.025;20;5;500;50
0.082155;M176;12;0;0;4;2020-09-07 23:29:04.908259;23:29:04.990414;3;0.025;20;5;500;50
0.410712;M178;11;0;0;3;2020-09-07 23:29:05.375053;23:29:05.785765;3;0.025;20;5;500;50
0.249179;M175;10;0;0;2;2020-09-07 23:29:06.744425;23:29:06.993604;3;0.025;20;5;500;50
0.107637;M139;8;0;0;0;2020-09-07 23:29:06.885967;23:29:06.993604;3;0.025;20;5;500;50
0.093176;M173;9;0;0;1;2020-09-07 23:29:06.900428;23:29:06.993604;3;0.025;20;5;500;50
0.37849;M204;12;0;0;4;2020-09-07 23:29:07.452643;23:29:07.831133;3;0.025;20;5;500;50
0.410349;M209;12;0;0;4;2020-09-07 23:29:08.281787;23:29:08.692136;3;0.025;20;5;500;50
0.227719;M215;11;0;0;3;2020-09-07 23:29:09.072045;23:29:09.299764;3;0.025;20;5;500;50
0.396903;M212;10;0;0;2;2020-09-07 23:29:09.542752;23:29:09.939655;3;0.025;20;5;500;50
0.552093;M242;12;0;0;4;2020-09-07 23:29:10.266521;23:29:10.818614;3;0.025;20;5;500;50
0.110346;M210;9;0;0;1;2020-09-07 23:29:11.146396;23:29:11.256742;3;0.025;20;5;500;50
0.397793;M230;9;0;0;1;2020-09-07 23:29:13.583701;23:29:13.981494;3;0.025;20;5;500;50
0.330403;M195;8;0;0;0;2020-09-07 23:29:13.651091;23:29:13.981494;3;0.025;20;5;500;50
0.137867;M287;12;0;0;4;2020-09-07 23:29:14.204430;23:29:14.342297;3;0.025;20;5;500;50
0.11205;M315;12;0;0;4;2020-09-07 23:29:16.029854;23:29:16.141904;3;0.025;20;5;500;50
0.129129;M294;11;0;0;3;2020-09-07 23:29:17.178042;23:29:17.307171;3;0.025;20;5;500;50
0.184346;M282;10;0;0;2;2020-09-07 23:29:17.464750;23:29:17.649096;3;0.025;20;5;500;50
0.15194;M302;11;0;0;3;2020-09-07 23:29:18.026903;23:29:18.178843;3;0.025;20;5;500;50
0.397508;M303;11;0;0;3;2020-09-07 23:29:18.092109;23:29:18.489617;3;0.025;20;5;500;50
0.411318;M306;11;0;0;3;2020-09-07 23:29:18.577970;23:29:18.989288;3;0.025;20;5;500;50
0.486579;M314;11;0;0;3;2020-09-07 23:29:19.406424;23:29:19.893003;3;0.025;20;5;500;50
0.350311;M242;8;0;0;0;2020-09-07 23:29:19.542692;23:29:19.893003;3;0.025;20;5;500;50
0.154054;M326;11;0;0;3;2020-09-07 23:29:20.399917;23:29:20.553971;3;0.025;20;5;500;50
0.328238;M329;11;0;0;3;2020-09-07 23:29:20.566553;23:29:20.894791;3;0.025;20;5;500;50
0.345185;M351;11;0;0;3;2020-09-07 23:29:23.304908;23:29:23.650093;3;0.025;20;5;500;50
0.267818;M371;11;0;0;3;2020-09-07 23:29:25.073719;23:29:25.341537;3;0.025;20;5;500;50
0.366941;M361;10;0;0;2;2020-09-07 23:29:25.353604;23:29:25.720545;3;0.025;20;5;500;50
0.230895;M418;12;0;0;4;2020-09-07 23:29:26.242991;23:29:26.473886;3;0.025;20;5;500;50
0.358145;M341;9;0;0;1;2020-09-07 23:29:26.475460;23:29:26.833605;3;0.025;20;5;500;50
0.499092;M389;11;0;0;3;2020-09-07 23:29:26.756868;23:29:27.255960;3;0.025;20;5;500;50
0.391257;M430;12;0;0;4;2020-09-07 23:29:27.259152;23:29:27.650409;3;0.025;20;5;500;50
0.539229;M420;11;0;0;3;2020-09-07 23:29:30.313438;23:29:30.852667;3;0.025;20;5;500;50
0.177061;M378;9;0;0;1;2020-09-07 23:29:31.882225;23:29:32.059286;3;0.025;20;5;500;50
0.664703;M444;10;0;0;2;2020-09-07 23:29:34.565804;23:29:35.230507;3;0.025;20;5;500;50
0.499258;M386;8;0;0;0;2020-09-07 23:29:36.410367;23:29:36.909625;3;0.025;20;5;500;50
