DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.091946;M030;8;0;0;0;2020-09-04 13:41:57.835899;13:41:57.927845;1;0.001;5;2;500;50
0.08566;M107;8;0;0;1;2020-09-04 13:42:09.764421;13:42:09.850081;1;0.001;5;2;500;50
0.093363;M126;8;0;0;0;2020-09-04 13:42:11.226578;13:42:11.319941;1;0.001;5;2;500;50
0.127913;M128;8;0;0;0;2020-09-04 13:42:11.350957;13:42:11.478870;1;0.001;5;2;500;50
0.254606;M243;8;0;0;0;2020-09-04 13:42:27.744033;13:42:27.998639;1;0.001;5;2;500;50
0.169768;M312;8;0;0;1;2020-09-04 13:42:35.907592;13:42:36.077360;1;0.001;5;2;500;50
0.174477;M311;8;0;0;0;2020-09-04 13:42:36.449575;13:42:36.624052;1;0.001;5;2;500;50
0.196238;M325;8;0;0;0;2020-09-04 13:42:38.121329;13:42:38.317567;1;0.001;5;2;500;50
0.253979;M337;8;0;0;1;2020-09-04 13:42:39.143768;13:42:39.397747;1;0.001;5;2;500;50
0.209314;M339;8;0;0;1;2020-09-04 13:42:39.672850;13:42:39.882164;1;0.001;5;2;500;50
0.159652;M355;8;0;0;0;2020-09-04 13:42:42.586027;13:42:42.745679;1;0.001;5;2;500;50
0.301958;M359;8;0;0;0;2020-09-04 13:42:42.961914;13:42:43.263872;1;0.001;5;2;500;50
0.181064;M378;8;0;0;0;2020-09-04 13:42:46.468099;13:42:46.649163;1;0.001;5;2;500;50
0.159469;M370;8;0;0;1;2020-09-04 13:42:46.490691;13:42:46.650160;1;0.001;5;2;500;50
0.124998;M379;8;0;0;0;2020-09-04 13:42:46.526168;13:42:46.651166;1;0.001;5;2;500;50
0.225181;M434;8;0;0;0;2020-09-04 13:42:54.756987;13:42:54.982168;1;0.001;5;2;500;50
0.204732;M438;8;0;0;0;2020-09-04 13:42:55.223689;13:42:55.428421;1;0.001;5;2;500;50
0.153777;M433;8;0;0;1;2020-09-04 13:42:56.486997;13:42:56.640774;1;0.001;5;2;500;50
0.26315;M005;8;0;0;0;2020-09-04 13:41:53.975890;13:41:54.239040;1;0.001;5;2;500;50
0.267325;M057;8;0;0;0;2020-09-04 13:42:01.986408;13:42:02.253733;1;0.001;5;2;500;50
0.096018;M066;8;0;0;0;2020-09-04 13:42:03.021570;13:42:03.117588;1;0.001;5;2;500;50
0.083424;M063;8;0;0;1;2020-09-04 13:42:03.486667;13:42:03.570091;1;0.001;5;2;500;50
0.152624;M082;8;0;0;1;2020-09-04 13:42:05.502370;13:42:05.654994;1;0.001;5;2;500;50
0.094463;M085;8;0;0;1;2020-09-04 13:42:05.994561;13:42:06.089024;1;0.001;5;2;500;50
0.103349;M131;8;0;0;1;2020-09-04 13:42:12.066269;13:42:12.169618;1;0.001;5;2;500;50
0.209221;M134;8;0;0;0;2020-09-04 13:42:12.117210;13:42:12.326431;1;0.001;5;2;500;50
0.236703;M181;8;0;0;0;2020-09-04 13:42:18.823199;13:42:19.059902;1;0.001;5;2;500;50
0.353634;M193;8;0;0;1;2020-09-04 13:42:20.760508;13:42:21.114142;1;0.001;5;2;500;50
0.184207;M207;8;0;0;1;2020-09-04 13:42:23.380509;13:42:23.564716;1;0.001;5;2;500;50
0.231817;M229;8;0;0;1;2020-09-04 13:42:25.638436;13:42:25.870253;1;0.001;5;2;500;50
0.160817;M250;8;0;0;0;2020-09-04 13:42:28.513355;13:42:28.674172;1;0.001;5;2;500;50
0.149336;M262;8;0;0;0;2020-09-04 13:42:29.589484;13:42:29.738820;1;0.001;5;2;500;50
0.206088;M265;8;0;0;0;2020-09-04 13:42:30.139028;13:42:30.345116;1;0.001;5;2;500;50
0.16341;M269;8;0;0;0;2020-09-04 13:42:30.698289;13:42:30.861699;1;0.001;5;2;500;50
0.089743;M282;8;0;0;1;2020-09-04 13:42:32.721526;13:42:32.811269;1;0.001;5;2;500;50
0.188899;M293;8;0;0;0;2020-09-04 13:42:33.782840;13:42:33.971739;1;0.001;5;2;500;50
0.09348;M304;8;0;0;0;2020-09-04 13:42:35.793937;13:42:35.887417;1;0.001;5;2;500;50
0.08964;M317;8;0;0;1;2020-09-04 13:42:36.534412;13:42:36.624052;1;0.001;5;2;500;50
0.197437;M326;8;0;0;0;2020-09-04 13:42:38.497300;13:42:38.694737;1;0.001;5;2;500;50
0.372063;M330;8;0;0;0;2020-09-04 13:42:39.293089;13:42:39.665152;1;0.001;5;2;500;50
