DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.405208;M011;8;0;1;2;2020-07-04 08:58:00.360613;08:58:00.765821;0;0.01;5;5;500;50
0.632991;M021;8;0;1;2;2020-07-04 08:58:01.937074;08:58:02.570065;0;0.01;5;5;500;50
0.63144;M024;8;0;1;3;2020-07-04 08:58:02.088646;08:58:02.720086;0;0.01;5;5;500;50
1.397549;M035;8;0;1;3;2020-07-04 08:58:03.817511;08:58:05.215060;0;0.01;5;5;500;50
1.529261;M043;8;0;1;2;2020-07-04 08:58:04.982848;08:58:06.512109;0;0.01;5;5;500;50
1.60198;M040;8;0;1;0;2020-07-04 08:58:05.185326;08:58:06.787306;0;0.01;5;5;500;50
1.672646;M033;8;0;1;4;2020-07-04 08:58:05.527200;08:58:07.199846;0;0.01;5;5;500;50
1.748405;M049;8;0;1;3;2020-07-04 08:58:05.951403;08:58:07.699808;0;0.01;5;5;500;50
1.828535;M054;8;0;1;3;2020-07-04 08:58:06.568952;08:58:08.397487;0;0.01;5;5;500;50
2.326082;M072;8;0;1;3;2020-07-04 08:58:08.972041;08:58:11.298123;0;0.01;5;5;500;50
2.398482;M071;8;0;1;1;2020-07-04 08:58:09.350886;08:58:11.749368;0;0.01;5;5;500;50
2.966383;M079;8;0;1;1;2020-07-04 08:58:10.341899;08:58:13.308282;0;0.01;5;5;500;50
3.098382;M082;8;0;1;3;2020-07-04 08:58:10.607846;08:58:13.706228;0;0.01;5;5;500;50
3.19635;M072;8;0;1;4;2020-07-04 08:58:11.540993;08:58:14.737343;0;0.01;5;5;500;50
3.175192;M096;8;0;1;2;2020-07-04 08:58:12.348828;08:58:15.524020;0;0.01;5;5;500;50
3.301615;M097;8;0;1;2;2020-07-04 08:58:12.680281;08:58:15.981896;0;0.01;5;5;500;50
3.747643;M111;8;0;1;2;2020-07-04 08:58:14.302290;08:58:18.049933;0;0.01;5;5;500;50
5.141938;M162;8;0;1;2;2020-07-04 08:58:21.997377;08:58:27.139315;0;0.01;5;5;500;50
6.126532;M164;8;0;1;4;2020-07-04 08:58:26.367448;08:58:32.493980;0;0.01;5;5;500;50
6.171067;M201;8;0;1;2;2020-07-04 08:58:26.486828;08:58:32.657895;0;0.01;5;5;500;50
6.250229;M180;8;0;1;4;2020-07-04 08:58:28.207221;08:58:34.457450;0;0.01;5;5;500;50
6.555298;M193;8;0;1;4;2020-07-04 08:58:30.756839;08:58:37.312137;0;0.01;5;5;500;50
7.046657;M205;8;0;1;4;2020-07-04 08:58:32.588915;08:58:39.635572;0;0.01;5;5;500;50
7.134651;M225;8;0;1;1;2020-07-04 08:58:33.215654;08:58:40.350305;0;0.01;5;5;500;50
8.43493;M292;8;0;1;2;2020-07-04 08:58:39.812720;08:58:48.247650;0;0.01;5;5;500;50
8.536286;M293;8;0;1;2;2020-07-04 08:58:40.020640;08:58:48.556926;0;0.01;5;5;500;50
9.544273;M310;8;0;1;1;2020-07-04 08:58:44.459138;08:58:54.003411;0;0.01;5;5;500;50
10.03692;M330;8;0;1;2;2020-07-04 08:58:45.912849;08:58:55.949769;0;0.01;5;5;500;50
10.001493;M332;8;0;1;2;2020-07-04 08:58:46.027366;08:58:56.028859;0;0.01;5;5;500;50
10.061694;M344;8;0;1;3;2020-07-04 08:58:46.136195;08:58:56.197889;0;0.01;5;5;500;50
10.178998;M322;8;0;1;0;2020-07-04 08:58:46.646086;08:58:56.825084;0;0.01;5;5;500;50
10.341479;M350;8;0;1;3;2020-07-04 08:58:47.045306;08:58:57.386785;0;0.01;5;5;500;50
10.583454;M318;8;0;1;4;2020-07-04 08:58:48.389936;08:58:58.973390;0;0.01;5;5;500;50
10.486127;M324;8;0;1;4;2020-07-04 08:58:48.930880;08:58:59.417007;0;0.01;5;5;500;50
10.663008;M348;8;0;1;1;2020-07-04 08:58:49.203139;08:58:59.866147;0;0.01;5;5;500;50
10.677104;M341;8;0;1;0;2020-07-04 08:58:49.450327;08:59:00.127431;0;0.01;5;5;500;50
10.891173;M371;8;0;1;3;2020-07-04 08:58:50.365757;08:59:01.256930;0;0.01;5;5;500;50
11.802181;M393;8;0;1;3;2020-07-04 08:58:53.562871;08:59:05.365052;0;0.01;5;5;500;50
12.86131;M389;8;0;1;0;2020-07-04 08:58:57.448446;08:59:10.309756;0;0.01;5;5;500;50
13.200324;M422;8;0;1;2;2020-07-04 08:58:58.271910;08:59:11.472234;0;0.01;5;5;500;50
